2014-Feb-17_21-46-32,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left Out Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,Low Transducer(PSI),High Transducer(PSI),Left Talon,Right Talon,Packet Count,Uptime(s),Downtime(s),% CPU,Match Time,,
2014-Feb-17_21-47-10,21-47-10.6,12.494,2.288,0,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,20.941,0,0,0,0,4.376,12.375,23.813,0,0,0,0,-4.503,12.445,19.602,0,0,0,0,4.852,12.551,19.793,0,-0.108,-1.371,0,12.656,22.09,1,1,0,0,0,2,1,937.701,-254.54,2.049,109.517,24.063,0,0,10092,0.0376,0.0494,0.7614,28.143,?7jz,
2014-Feb-17_21-47-10,21-47-10.7,12.494,2.288,0,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,20.941,0,0,0,0,4.376,12.375,23.813,0,0,0,0,-4.503,12.445,19.602,0,0,0,0,4.852,12.551,19.793,0,-0.108,-1.371,0,12.656,22.09,1,1,0,0,0,2,1,937.701,-254.54,2.049,109.517,24.063,0,0,10092,0.0376,0.0494,0.7614,28.143,???~,
2014-Feb-17_21-47-10,21-47-10.8,12.494,2.288,0,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,21.133,0,0,0,0,4.376,12.375,24.195,0,0,0,0,-4.503,12.445,19.984,0,0,0,0,4.852,12.551,20.941,0,-0.108,-1.367,0,12.691,22.664,1,1,0,0,0,2,1,935.027,-254.572,2.044,109.631,23.949,0,0,10093,0.0387,0.0495,0.7816,28.231,????,
2014-Feb-17_21-47-10,21-47-10.8,12.494,2.288,0,0.008,-0.009,-0.008,0,0,0,0,-4.647,12.41,20.75,0,0,0,0,4.376,12.41,24.004,0,0,0,0,-4.503,12.445,20.367,0,0,0,0,4.852,12.551,20.559,0,-0.108,-1.371,0,12.691,21.516,1,1,0,0,0,2,1,929.678,-254.616,2.044,109.517,23.949,0,0,10094,0.037,0.0502,0.7386,28.318,????,
2014-Feb-17_21-47-10,21-47-10.9,12.494,1.554,0,0.008,-0.009,-0.008,0,0,0,0,-4.647,12.41,20.941,0,0,0,0,4.376,12.375,23.813,0,0,0,0,-4.503,12.445,19.984,0,0,0,0,4.852,12.551,20.559,0,-0.108,-1.371,0,12.691,22.473,1,1,0,0,0,2,1,932.353,-254.663,2.044,109.517,23.949,0,0,10095,0.0387,0.0499,0.775,28.407,???e,
2014-Feb-17_21-47-11,21-47-11.0,12.494,1.921,0.054,0.009,-0.009,-0.008,0,0,0,0,-4.647,12.41,21.324,0,0,0,0,4.376,12.375,23.813,0,0,0,0,-4.503,12.41,20.176,0,0.07,0.867,0,4.852,12.41,20.176,0,-0.108,-1.367,0,12.621,21.898,1,1,0,0,0,2,1,932.353,-254.711,2.044,109.631,24.177,0,0,10096,0.0386,0.0493,0.7827,28.495,v'?{,
2014-Feb-17_21-47-11,21-47-11.1,12.381,5.593,1,0.023,-0.009,-0.008,0,-0.159,-1.934,6.77,-4.647,12.164,21.324,0,-0.112,-1.371,5.195,4.376,12.199,23.813,0,0.112,1.355,5.457,-4.503,12.129,19.602,0,0.179,2.172,8.871,4.852,12.164,20.75,0,-0.108,-1.352,0,12.48,22.09,1,1,0,0,0,2,1,932.353,-254.729,2.049,109.517,24.063,0,0,10097,0.0362,0.0494,0.7318,28.581,2??,
2014-Feb-17_21-47-11,21-47-11.1,12.381,5.593,1,0.023,-0.009,-0.008,0,-0.159,-1.934,6.77,-4.647,12.164,21.324,0,-0.112,-1.371,5.195,4.376,12.199,23.813,0,0.112,1.355,5.457,-4.503,12.129,19.602,0,0.179,2.172,8.871,4.852,12.164,20.75,0,-0.108,-1.352,0,12.48,22.09,1,1,0,0,0,2,1,932.353,-254.729,2.049,109.517,24.063,0,0,10097,0.0362,0.0494,0.7318,28.581,??Tu,
2014-Feb-17_21-47-11,21-47-11.2,12.122,12.201,1,0.023,-0.011,-0.008,0,-0.239,-2.813,11.234,-4.647,11.813,21.133,0,-0.192,-2.293,8.082,4.378,11.883,23.813,0,0.212,2.453,10.445,-4.505,11.531,19.41,0,0.259,3.027,14.387,4.852,11.777,20.176,0,-0.108,-1.313,0,12.094,22.664,1,1,0,0,0,2,1,927.004,-254.793,2.044,109.631,24.292,0,0,10098,0.0388,0.0508,0.7646,28.67,???n,
2014-Feb-17_21-47-11,21-47-11.3,11.673,23.583,1,0.023,-0.018,-0.008,0,-0.339,-3.789,18.98,-4.647,11.18,21.133,0,-0.292,-3.313,16.75,4.38,11.32,24.195,0,0.292,3.164,17.668,-4.505,10.863,19.984,0,0.359,3.969,21.215,4.852,11.074,19.984,0,-0.108,-1.254,0,11.566,22.09,1,1,0,0,0,2,1,932.353,-254.859,2.054,109.631,23.949,0,0,10099,0.0369,0.0533,0.6923,28.76,7???,
2014-Feb-17_21-47-11,21-47-11.3,10.965,44.143,1,0.023,-0.018,-0.008,0,-0.419,-4.387,26.73,-4.643,10.406,20.75,0,-0.372,-3.969,24.102,4.38,10.617,23.813,0,0.392,3.902,23.84,-4.505,9.949,19.41,0,0.439,4.426,34.215,4.851,10.09,19.602,0,-0.108,-1.184,0,10.863,22.09,1,1,0,0,0,2,1,935.027,-254.923,2.049,109.517,23.949,0,0,10100,0.0394,0.0499,0.7896,28.849,p???,
2014-Feb-17_21-47-11,21-47-11.4,10.965,44.143,1,0.023,-0.018,-0.008,0,-0.419,-4.387,26.73,-4.643,10.406,20.75,0,-0.372,-3.969,24.102,4.38,10.617,23.813,0,0.392,3.902,23.84,-4.505,9.949,19.41,0,0.439,4.426,34.215,4.851,10.09,19.602,0,-0.108,-1.184,0,10.863,22.09,1,1,0,0,0,2,1,935.027,-254.923,2.049,109.517,23.949,0,0,10100,0.0394,0.0499,0.7896,28.849,?m?,
2014-Feb-17_21-47-11,21-47-11.4,10.352,69.109,1,0.023,-0.018,-0.008,0,-0.499,-4.93,36.973,-4.642,9.773,21.324,0,-0.472,-4.734,28.305,4.381,10.02,23.43,0,0.472,4.297,29.617,-4.505,9.105,19.793,0,0.519,4.758,45.242,4.85,9.176,19.793,0,-0.108,-1.125,0,10.371,22.281,1,1,0,0,0,2,1,1865.679,-254.855,2.039,109.631,24.177,0,0,10101,0.0394,0.0496,0.7941,28.938,?,
2014-Feb-17_21-47-11,21-47-11.5,10.266,73.882,1,0.023,-0.018,-0.008,0,-0.523,-5.133,38.023,-4.639,9.773,21.133,0,-0.477,-4.813,28.172,4.382,10.055,23.813,0,0.477,4.273,32.508,-4.505,9.07,19.219,0,0.523,4.945,42.094,4.85,9.457,19.793,0,-0.108,-1.125,0,10.406,22.281,1,1,0,0,0,2,1,1913.816,-254.276,2.049,109.403,23.835,0,0,10102,0.0395,0.0497,0.7947,29.028,}??E,
2014-Feb-17_21-47-11,21-47-11.6,10.266,73.882,1,0.023,-0.018,-0.008,0,-0.523,-5.133,38.023,-4.639,9.773,21.133,0,-0.477,-4.813,28.172,4.382,10.055,23.813,0,0.477,4.273,32.508,-4.505,9.07,19.219,0,0.523,4.945,42.094,4.85,9.457,19.793,0,-0.108,-1.125,0,10.406,22.281,1,1,0,0,0,2,1,1913.816,-254.276,2.049,109.403,23.835,0,0,10102,0.0395,0.0497,0.7947,29.028,???,
2014-Feb-17_21-47-11,21-47-11.6,10.179,74.249,1,0.023,-0.018,-0.008,0,-0.523,-5.152,33.293,-4.635,9.773,20.367,0,-0.477,-4.746,33.426,4.384,9.914,23.43,0,0.477,4.273,32.902,-4.506,8.93,19.219,0,0.523,4.945,41.043,4.847,9.352,19.41,0,-0.108,-1.113,0,10.301,21.898,1,1,0,0,0,2,1,1903.119,-253.967,2.044,109.631,24.292,0,0,10103,0.0384,0.0496,0.773,29.116,??,
2014-Feb-17_21-47-11,21-47-11.7,10.119,73.515,1,0.023,-0.018,-0.008,0,-0.523,-5.098,35.922,-4.633,9.809,20.75,0,-0.477,-4.762,33.293,4.385,9.949,24.004,0,0.477,4.254,33.953,-4.51,8.965,19.793,0,0.523,4.98,36.84,4.84,9.527,19.41,0,-0.108,-1.125,0,10.406,21.516,1,1,0,0,0,2,1,1913.816,-255.229,2.044,109.631,23.949,0,0,10104,0.0379,0.0495,0.7643,29.203,??`?,
2014-Feb-17_21-47-11,21-47-11.8,10.119,73.515,1,0.023,-0.018,-0.008,0,-0.523,-5.098,35.922,-4.633,9.809,20.75,0,-0.477,-4.762,33.293,4.385,9.949,24.004,0,0.477,4.254,33.953,-4.51,8.965,19.793,0,0.523,4.98,36.84,4.84,9.527,19.41,0,-0.108,-1.125,0,10.406,21.516,1,1,0,0,0,2,1,1913.816,-255.229,2.044,109.631,23.949,0,0,10104,0.0379,0.0495,0.7643,29.203,q7C,
2014-Feb-17_21-47-11,21-47-11.8,10.248,71.679,1,0.023,-0.018,-0.008,0,-0.523,-5.113,34.215,-4.63,9.809,21.133,0,-0.477,-4.762,28.566,4.386,10.055,23.621,0,0.477,4.223,34.082,-4.515,8.859,19.41,0,0.523,4.98,36.578,4.833,9.668,20.176,0,-0.108,-1.129,0,10.441,21.707,1,1,0,0,0,2,1,1908.467,-256.415,2.039,109.517,24.063,0,0,10105,0.0379,0.0501,0.7557,29.291,???j,
2014-Feb-17_21-47-11,21-47-11.9,10.326,65.805,1,0.023,-0.018,-0.008,0,-0.523,-5.172,32.902,-4.627,9.844,21.133,0,-0.477,-4.797,30.539,4.387,10.055,24.195,0,0.477,4.371,32.113,-4.521,9.176,19.219,0,0.523,5.074,32.508,4.825,9.527,20.176,0,-0.108,-1.133,0,10.441,21.707,1,1,0,0,0,2,1,1908.467,-258.139,2.044,109.631,24.063,0,0,10106,0.0389,0.0502,0.7752,29.38,?X??,
2014-Feb-17_21-47-11,21-47-11.9,10.205,72.414,1,0.023,-0.018,-0.008,0,-0.523,-5.113,35.789,-4.626,9.773,20.559,0,-0.477,-4.73,32.113,4.387,9.914,23.813,0,0.477,4.324,32.902,-4.529,9.105,19.793,0,0.523,4.945,38.152,4.817,9.527,19.793,0,-0.108,-1.117,0,10.266,22.09,1,1,0,0,0,2,1,1913.816,-260.112,2.044,109.631,23.949,0,0,10107,0.0382,0.05,0.7628,29.468,0?i,
2014-Feb-17_21-47-12,21-47-12.0,10.205,72.414,1,0.023,-0.018,-0.008,0,-0.523,-5.113,35.789,-4.626,9.773,20.559,0,-0.477,-4.73,32.113,4.387,9.914,23.813,0,0.477,4.324,32.902,-4.529,9.105,19.793,0,0.523,4.945,38.152,4.817,9.527,19.793,0,-0.108,-1.117,0,10.266,22.09,1,1,0,0,0,2,1,1913.816,-260.112,2.044,109.631,23.949,0,0,10107,0.0382,0.05,0.7628,29.468,?3gq,
2014-Feb-17_21-47-12,21-47-12.1,10.171,71.679,1,0.023,-0.018,-0.008,0,-0.523,-5.133,38.809,-4.623,9.773,20.941,0,-0.477,-4.746,32.902,4.387,9.914,23.621,0,0.477,4.238,33.426,-4.535,8.965,19.219,0,0.523,4.98,33.953,4.806,9.492,19.602,0,-0.108,-1.121,0,10.336,21.707,1,1,0,0,0,2,1,1908.467,-262.291,2.054,109.517,23.835,0,0,10108,0.0392,0.0498,0.786,29.557,Z:,
2014-Feb-17_21-47-12,21-47-12.1,10.274,67.641,1,0.023,-0.018,-0.008,0,-0.523,-5.188,34.477,-4.618,9.914,20.941,0,-0.477,-4.777,31.195,4.387,10.055,23.621,0,0.477,4.273,31.98,-4.542,9.141,19.219,0,0.523,4.91,38.68,4.795,9.492,19.793,0,-0.108,-1.121,0,10.371,21.898,1,1,0,0,0,2,1,1908.467,-264.095,2.044,109.517,24.063,0,0,10109,0.0381,0.0499,0.7631,29.645,2#?,
2014-Feb-17_21-47-12,21-47-12.2,10.274,67.641,1,0.023,-0.018,-0.008,0,-0.523,-5.188,34.477,-4.618,9.914,20.941,0,-0.477,-4.777,31.195,4.387,10.055,23.621,0,0.477,4.273,31.98,-4.542,9.141,19.219,0,0.523,4.91,38.68,4.795,9.492,19.793,0,-0.108,-1.121,0,10.371,21.898,1,1,0,0,0,2,1,1908.467,-264.095,2.044,109.517,24.063,0,0,10109,0.0381,0.0499,0.7631,29.645,?kE),
2014-Feb-17_21-47-12,21-47-12.3,10.283,71.679,1,0.023,-0.018,-0.008,0,-0.523,-5.133,35.66,-4.612,9.914,20.941,0,-0.477,-4.777,33.164,4.387,10.02,23.813,0,0.477,4.273,33.164,-4.547,8.965,19.219,0,0.523,4.98,34.477,4.783,9.527,19.602,0,-0.108,-1.125,0,10.406,21.898,1,1,0,0,0,2,1,1911.142,-266.005,2.049,109.631,23.949,0,0,10110,0.0404,0.0499,0.8098,29.735,?Y?m,
2014-Feb-17_21-47-12,21-47-12.3,10.162,72.781,1,0.023,-0.018,-0.008,0,-0.523,-5.113,36.184,-4.603,9.809,20.559,0,-0.477,-4.746,33.031,4.387,9.984,23.621,0,0.477,4.355,32.637,-4.552,8.965,19.41,0,0.523,4.98,35.789,4.771,9.668,19.793,0,-0.108,-1.117,0,10.371,22.09,1,1,0,0,0,2,1,1913.816,-267.489,2.044,109.746,23.835,0,0,10111,0.0396,0.0497,0.797,29.825,????,
2014-Feb-17_21-47-12,21-47-12.4,10.266,69.844,1,0.023,-0.018,-0.008,0,-0.523,-5.188,33.559,-4.593,9.844,20.559,0,-0.477,-4.762,33.559,4.387,9.984,23.813,0,0.477,4.273,32.902,-4.559,9.035,19.602,0,0.523,4.98,36.316,4.758,9.527,19.793,0,-0.108,-1.133,0,10.477,21.707,1,1,0,0,0,2,1,1913.816,-269.666,2.039,109.746,24.177,0,0,10112,0.0404,0.0494,0.8188,29.915,|??=,
2014-Feb-17_21-47-12,21-47-12.4,10.266,69.844,1,0.023,-0.018,-0.008,0,-0.523,-5.188,33.559,-4.593,9.844,20.559,0,-0.477,-4.762,33.559,4.387,9.984,23.813,0,0.477,4.273,32.902,-4.559,9.035,19.602,0,0.523,4.98,36.316,4.758,9.527,19.793,0,-0.108,-1.133,0,10.477,21.707,1,1,0,0,0,2,1,1913.816,-269.666,2.039,109.746,24.177,0,0,10112,0.0404,0.0494,0.8188,29.915,}??,
2014-Feb-17_21-47-12,21-47-12.5,10.231,69.476,1,0.023,-0.018,-0.008,0,-0.523,-5.152,34.344,-4.582,9.844,20.75,0,-0.477,-4.797,31.98,4.387,10.02,23.621,0,0.477,4.324,31.457,-4.565,8.965,19.027,0,0.523,5.055,35.266,4.746,9.703,20.176,0,-0.108,-1.129,0,10.512,21.898,1,1,0,0,0,2,1,1908.467,-271.419,2.049,109.403,24.063,0,0,10113,0.0397,0.0496,0.8011,30.004,}?AV,
2014-Feb-17_21-47-12,21-47-12.6,10.179,70.578,1,0.023,-0.018,-0.008,0,-0.523,-5.133,33.031,-4.572,9.844,20.75,0,-0.477,-4.762,33.164,4.387,9.949,23.621,0,0.477,4.254,34.609,-4.571,8.93,19.219,0,0.523,4.98,37.102,4.734,9.387,19.793,0,-0.108,-1.125,0,10.406,22.09,1,1,0,0,0,2,1,1913.816,-273.33,2.049,109.403,24.063,0,0,10114,0.0402,0.0502,0.801,30.094,!?g?,
2014-Feb-17_21-47-12,21-47-12.6,10.179,70.578,1,0.023,-0.018,-0.008,0,-0.523,-5.133,33.031,-4.572,9.844,20.75,0,-0.477,-4.762,33.164,4.387,9.949,23.621,0,0.477,4.254,34.609,-4.571,8.93,19.219,0,0.523,4.98,37.102,4.734,9.387,19.793,0,-0.108,-1.125,0,10.406,22.09,1,1,0,0,0,2,1,1913.816,-273.33,2.049,109.403,24.063,0,0,10114,0.0402,0.0502,0.801,30.094,,
?4?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Feb-17_21-47-12,21-47-12.7,10.196,72.781,1,0.023,-0.018,-0.008,0,-0.523,-5.059,38.68,-4.562,9.668,21.133,0,-0.477,-4.73,33.031,4.387,9.914,23.621,0,0.477,4.254,35.266,-4.577,8.93,19.41,0,0.523,5.074,34.082,4.721,9.668,19.027,0,-0.108,-1.121,0,10.406,21.898,1,1,0,0,0,2,1,1913.816,-275.102,2.049,109.403,23.949,0,0,10115,0.039,0.0498,0.7828,30.183,??,
2014-Feb-17_21-47-12,21-47-12.8,10.274,69.844,1,0.023,-0.018,-0.008,0,-0.523,-5.152,33.688,-4.551,9.914,20.559,0,-0.477,-4.762,32.902,4.387,10.02,24.387,0,0.477,4.273,32.902,-4.582,8.965,19.41,0,0.523,5.129,32.508,4.708,9.773,20.176,0,-0.108,-1.133,0,10.406,22.09,1,1,0,0,0,2,1,1908.467,-277.093,2.034,109.517,24.063,0,0,10116,0.0377,0.0501,0.7526,30.271,e+r,
2014-Feb-17_21-47-12,21-47-12.8,10.274,69.844,1,0.023,-0.018,-0.008,0,-0.523,-5.152,33.688,-4.551,9.914,20.559,0,-0.477,-4.762,32.902,4.387,10.02,24.387,0,0.477,4.273,32.902,-4.582,8.965,19.41,0,0.523,5.129,32.508,4.708,9.773,20.176,0,-0.108,-1.133,0,10.406,22.09,1,1,0,0,0,2,1,1908.467,-277.093,2.034,109.517,24.063,0,0,10116,0.0377,0.0501,0.7526,30.271,???,
2014-Feb-17_21-47-12,21-47-12.9,10.179,72.414,1,0.023,-0.018,-0.008,0,-0.523,-5.113,36.445,-4.54,9.809,20.75,0,-0.477,-4.746,33.164,4.387,9.949,23.621,0,0.477,4.254,33.031,-4.588,8.93,19.793,0,0.523,4.98,36.051,4.692,9.527,19.793,0,-0.108,-1.125,0,10.441,21.707,1,1,0,0,0,2,1,1913.816,-278.83,2.049,109.631,24.063,0,0,10117,0.0396,0.0497,0.7969,30.36,??Qs,
2014-Feb-17_21-47-12,21-47-12.9,10.266,68.375,1,0.023,-0.018,-0.008,0,-0.523,-5.172,33.82,-4.53,9.879,20.941,0,-0.477,-4.762,33.293,4.387,9.984,23.813,0,0.477,4.254,36.316,-4.596,8.965,19.219,0,0.523,5.109,30.801,4.677,9.738,19.984,0,-0.108,-1.121,0,10.371,21.898,1,1,0,0,0,2,1,1913.816,-280.789,2.044,109.517,24.063,0,0,10118,0.0393,0.0499,0.7865,30.449,?&??,
2014-Feb-17_21-47-13,21-47-13.0,10.309,66.906,1,0.018,-0.018,-0.008,0,-0.518,-5.137,29.223,-4.517,9.984,21.133,0,-0.486,-4.867,33.559,4.387,9.984,23.621,0,0.486,4.438,34.082,-4.602,9.176,19.41,0,0.514,5.043,32.902,4.662,9.773,19.984,0,-0.108,-1.125,0,10.441,22.281,1,1,0,0,0,2,1,1905.793,-283.242,2.044,109.517,24.177,0,0,10119,0.0382,0.0498,0.7667,30.537,i??g,
2014-Feb-17_21-47-13,21-47-13.1,10.309,66.906,1,0.018,-0.018,-0.008,0,-0.518,-5.137,29.223,-4.517,9.984,21.133,0,-0.486,-4.867,33.559,4.387,9.984,23.621,0,0.486,4.438,34.082,-4.602,9.176,19.41,0,0.514,5.043,32.902,4.662,9.773,19.984,0,-0.108,-1.125,0,10.441,22.281,1,1,0,0,0,2,1,1905.793,-283.242,2.044,109.517,24.177,0,0,10119,0.0382,0.0498,0.7667,30.537,u ,
2014-Feb-17_21-47-13,21-47-13.1,10.352,67.274,1,0.012,-0.018,-0.008,0,-0.512,-5.078,28.043,-4.501,9.949,21.133,0,-0.488,-4.871,33.953,4.387,9.984,23.813,0,0.488,4.422,33.164,-4.61,9.07,19.027,0,0.512,4.969,31.586,4.648,9.668,19.602,0,-0.108,-1.125,0,10.336,22.09,1,1,0,0,0,2,1,1911.142,-285.435,2.044,109.631,24.177,0,0,10120,0.0366,0.0499,0.7348,30.624,$??,
2014-Feb-17_21-47-13,21-47-13.2,10.266,69.844,1,0.012,-0.018,-0.008,0,-0.512,-5.023,36.445,-4.49,9.844,20.75,0,-0.488,-4.906,33.293,4.387,10.055,23.621,0,0.488,4.441,33.031,-4.617,9.105,18.645,0,0.512,5.059,32.375,4.636,9.879,19.602,0,-0.103,-1.086,0,10.547,22.281,1,1,0,0,0,2,1,1913.816,-288.193,2.049,109.631,24.177,0,0,10121,0.0404,0.0493,0.8194,30.714,U?%,
2014-Feb-17_21-47-13,21-47-13.3,10.266,69.844,1,0.012,-0.018,-0.008,0,-0.512,-5.023,36.445,-4.49,9.844,20.75,0,-0.488,-4.906,33.293,4.387,10.055,23.621,0,0.488,4.441,33.031,-4.617,9.105,18.645,0,0.512,5.059,32.375,4.636,9.879,19.602,0,-0.103,-1.086,0,10.547,22.281,1,1,0,0,0,2,1,1913.816,-288.193,2.049,109.631,24.177,0,0,10121,0.0404,0.0493,0.8194,30.714,"Da9	",
2014-Feb-17_21-47-13,21-47-13.3,10.326,68.008,1,0.012,-0.006,-0.008,0,-0.512,-5.078,27.516,-4.469,9.984,21.324,0,-0.488,-4.906,34.215,4.387,10.09,23.813,0,0.488,4.492,31.719,-4.627,9.246,19.984,0,0.512,5.02,31.852,4.621,9.844,19.219,0,-0.108,-1.133,0,10.512,22.09,1,1,0,0,0,2,1,1908.467,-290.849,2.049,109.746,24.063,0,0,10122,0.0362,0.0511,0.7092,30.801,MUF,
2014-Feb-17_21-47-13,21-47-13.4,10.412,62.501,1,0.012,0,-0.008,0,-0.512,-5.188,25.547,-4.45,10.055,20.941,0,-0.488,-4.906,34.738,4.387,10.125,24.004,0,0.488,4.457,34.215,-4.639,9.176,19.027,0,0.512,5.109,28.699,4.604,10.125,19.602,0,-0.108,-1.141,0,10.547,21.707,1,1,0,0,0,2,1,1911.142,-294.873,2.044,109.631,23.949,0,0,10123,0.0404,0.0502,0.8052,30.892,/sR?,
2014-Feb-17_21-47-13,21-47-13.4,10.412,62.501,1,0.012,0,-0.008,0,-0.512,-5.188,25.547,-4.45,10.055,20.941,0,-0.488,-4.906,34.738,4.387,10.125,24.004,0,0.488,4.457,34.215,-4.639,9.176,19.027,0,0.512,5.109,28.699,4.604,10.125,19.602,0,-0.108,-1.141,0,10.547,21.707,1,1,0,0,0,2,1,1911.142,-294.873,2.044,109.631,23.949,0,0,10123,0.0404,0.0502,0.8052,30.892,i??_,
