2014-Mar-29_13-31-29,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,,
2014-Mar-29_14-06-02,14-06-02.1,12.131,19.544,-0.001,0,-0.001,-0.008,0,-1,-11.988,4.145,5.28,12.023,22.473,0,1,11.949,4.801,-6.012,11.918,25.727,0,-1,-12.023,3.75,6.455,12.023,20.559,0,1,12.125,4.277,-4.246,12.129,21.133,0,0,0,0,12.305,24.77,1,1,0,0,0,1,1,977.816,46.384,0.003,109.517,0,0,1682,0.1,1.489,1,??|,,
2014-Mar-29_14-06-02,14-06-02.5,12.571,1.554,-0.001,0,-0.001,-0.008,0,0,0,0,6.173,12.48,22.664,0,0,0,0,-6.883,12.48,26.109,0,0,0,0,7.1,12.516,20.75,0,1,0.605,0,-4.865,12.551,21.133,0,0,0,0,12.691,25.152,1,1,0,0,0,1,1,868.17,44.313,0.013,109.631,0,0,1685,0.1,0.038,1,V???,,
2014-Mar-29_14-06-02,14-06-02.6,10.671,92.607,-0.001,0,-0.001,-0.008,0,-1,-10.547,10.84,6.396,10.688,22.473,0,0.961,10.137,11.629,-7.131,10.477,25.727,0,-0.961,-10.309,24.496,7.31,10.688,20.75,0,0.961,10.137,26.859,-5.094,10.512,20.941,0,0,0,0,11.074,24.961,1,1,0,0,0,1,1,862.821,43.897,0.003,109.289,0,0,1686,0.1,0.184,1,]?]`,,
2014-Mar-29_14-06-02,14-06-02.8,11.457,48.549,-0.001,0,-0.001,-0.008,0,-0.879,-9.98,8.738,6.977,11.215,22.09,0,0.879,9.574,13.074,-7.665,10.934,25.344,0,-0.879,-9.887,13.336,7.763,11.355,20.75,0,0.862,9.883,11.496,-5.563,11.426,20.941,0,0,0,0,11.918,25.344,1,1,0,0,0,1,1,833.404,42.54,0.003,109.289,0,0,1687,0.1,0.329,1,?,,
2014-Mar-29_14-06-03,14-06-03.0,12.122,15.139,-0.001,0,-0.001,-0.008,0,-0.753,-9.023,4.539,7.555,12.023,22.281,0,0.753,8.859,5.852,-8.219,11.742,25.344,0,-0.73,-8.809,4.668,8.31,12.059,20.75,0,0.73,8.855,4.277,-6.128,12.129,21.133,0,0,0,0,12.41,24.578,1,1,0,0,0,1,1,809.336,42.015,0.003,109.403,0,0,1688,0.1,0.472,1,Uzq?,,
2014-Mar-29_14-06-03,14-06-03.1,12.442,3.023,-0.001,0,-0.001,-0.008,0,-0.591,-7.273,0,8.102,12.34,22.473,0,0.591,7.207,2.57,-8.778,12.234,25.727,0,-0.567,-7.039,1.254,8.844,12.375,20.367,0,0.567,7.055,1.91,-6.669,12.445,21.516,0,0,0,0,12.656,25.535,1,1,0,0,0,1,1,761.198,41.501,0.003,109.403,0,0,1689,0.1,0.614,1,!???,,
2014-Mar-29_14-06-03,14-06-03.2,12.554,-0.282,-0.001,0,-0.001,-0.008,0,-0.403,-5.027,0,8.592,12.445,22.855,0,0.403,5.039,0,-9.243,12.551,25.152,0,-0.372,-4.672,0,9.306,12.586,20.559,0,0.372,4.719,0,-7.134,12.727,21.516,0,0,0,0,12.867,24.961,1,1,0,0,0,1,1,723.758,41.532,0.003,109.517,0,0,1690,0.1,0.754,1,Y??x,,
2014-Mar-29_14-06-03,14-06-03.3,12.554,-0.282,-0.001,0,-0.001,-0.008,0,-0.403,-5.027,0,8.592,12.445,22.855,0,0.403,5.039,0,-9.243,12.551,25.152,0,-0.372,-4.672,0,9.306,12.586,20.559,0,0.372,4.719,0,-7.134,12.727,21.516,0,0,0,0,12.867,24.961,1,1,0,0,0,1,1,723.758,41.532,0.003,109.517,0,0,1690,0.1,0.754,1,W?k,,
2014-Mar-29_14-06-03,14-06-03.4,12.546,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,8.916,12.445,22.473,0,0,0,0,-9.561,12.41,25.535,0,0,0,0,9.589,12.48,20.367,0,0,0,0,-7.42,12.586,21.324,0,0,0,0,12.727,24.77,1,1,0,0,0,1,1,702.364,41.068,0.008,109.403,0,0,1691,0.1,0.892,1,???,,
2014-Mar-29_14-06-03,14-06-03.5,12.546,3.023,-0.001,0,-0.001,-0.008,0,0,0,0,9.017,12.48,22.09,0,0,0,0,-9.661,12.445,25.344,0,0,0,0,9.661,12.48,20.75,0,0,0,0,-7.496,12.586,21.133,0,0,0,0,12.762,24.961,1,1,0,0,0,1,1,675.621,40.249,-0.002,109.517,0,0,1692,0.1,1.03,1,?_c?,,
2014-Mar-29_14-06-03,14-06-03.6,12.554,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,9.026,12.48,22.473,0,0,0,0,-9.667,12.445,25.152,0,0,0,0,9.667,12.48,21.516,0,0,0,0,-7.499,12.621,21.133,0,0,0,0,12.762,25.152,1,1,0,0,0,1,1,672.947,40.187,0.008,109.403,0,0,1693,0.1,1.168,1,4??,,
2014-Mar-29_14-06-03,14-06-03.7,12.563,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.473,0,0,0,0,-9.664,12.48,25.727,0,0,0,0,9.667,12.48,20.75,0,0,0,0,-7.499,12.621,21.133,0,0,0,0,12.762,24.578,1,1,0,0,0,1,1,675.621,40.223,0.003,109.403,0,0,1694,0.1,1.306,1,"X	[?",,
2014-Mar-29_14-06-03,14-06-03.8,12.563,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.473,0,0,0,0,-9.664,12.48,25.727,0,0,0,0,9.667,12.48,20.75,0,0,0,0,-7.499,12.621,21.133,0,0,0,0,12.762,24.578,1,1,0,0,0,1,1,675.621,40.223,0.003,109.403,0,0,1694,0.1,1.306,1,^%H?,,
2014-Mar-29_14-06-03,14-06-03.9,12.571,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.473,0,0,0,0,-9.667,12.445,25.727,0,0,0,0,9.667,12.516,20.75,0,0,0,0,-7.499,12.621,21.707,0,0,0,0,12.797,24.387,1,1,0,0,0,1,1,672.947,40.154,-0.007,109.403,0,0,1695,0.1,1.444,1,tn{,,
2014-Mar-29_14-06-04,14-06-04.1,12.571,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.473,0,0,0,0,-9.667,12.48,25.535,0,0,0,0,9.667,12.516,20.941,0,0,0,0,-7.499,12.621,21.133,0,0,0,0,12.762,24.77,1,1,0,0,0,1,1,672.947,40.17,-0.002,109.517,0,0,1696,0.1,1.579,1,?{?,,
2014-Mar-29_14-06-04,14-06-04.2,12.58,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.473,0,0,0,0,-9.667,12.48,25.344,0,0,0,0,9.667,12.516,20.559,0,0,0,0,-7.499,12.621,21.707,0,0,0,0,12.762,25.344,1,1,0,0,0,1,1,675.621,40.201,-0.002,109.289,0,0,1697,0.1,1.717,1,<w6,,
2014-Mar-29_14-06-04,14-06-04.3,12.58,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.473,0,0,0,0,-9.667,12.48,25.535,0,0,0,0,9.667,12.516,20.75,0,0,0,0,-7.499,12.656,21.133,0,0,0,0,12.762,24.961,1,1,0,0,0,1,1,678.296,40.235,0.008,109.403,0,0,1698,0.1,1.854,1,?$bT,,
2014-Mar-29_14-06-04,14-06-04.4,12.58,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.473,0,0,0,0,-9.667,12.48,25.535,0,0,0,0,9.667,12.516,20.75,0,0,0,0,-7.499,12.656,21.133,0,0,0,0,12.762,24.961,1,1,0,0,0,1,1,678.296,40.235,0.008,109.403,0,0,1698,0.1,1.854,1,?O,,
2014-Mar-29_14-06-04,14-06-04.5,12.589,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.09,0,0,0,0,-9.667,12.48,25.918,0,0,0,0,9.667,12.516,20.75,0,0,0,0,-7.499,12.656,21.324,0,0,0,0,12.797,24.195,1,1,0,0,0,1,1,675.621,40.272,0.003,109.517,0,0,1699,0.1,1.993,1,?S,,
2014-Mar-29_14-06-04,14-06-04.6,12.58,3.023,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.664,0,0,0,0,-9.667,12.48,25.344,0,0,0,0,9.667,12.516,20.75,0,0,0,0,-7.499,12.656,20.941,0,0,0,0,12.797,24.578,1,1,0,0,0,1,1,675.621,40.322,0.003,109.403,0,0,1700,0.1,2.13,1,????,,
2014-Mar-29_14-06-04,14-06-04.7,12.58,3.023,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.664,0,0,0,0,-9.667,12.48,25.535,0,0,0,0,9.667,12.516,20.559,0,0,0,0,-7.499,12.656,21.516,0,0,0,0,12.797,24.77,1,1,0,0,0,1,1,675.621,40.376,0.003,109.631,0,0,1701,0.1,2.267,1,"	=>?",,
2014-Mar-29_14-06-04,14-06-04.8,12.589,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.664,0,0,0,0,-9.667,12.48,26.109,0,0,0,0,9.667,12.516,20.941,0,0,0,0,-7.499,12.656,21.324,0,0,0,0,12.797,24.77,1,1,0,0,0,1,1,675.621,40.424,0.003,109.403,0,0,1702,0.1,2.404,1,????,,
2014-Mar-29_14-06-04,14-06-04.9,12.589,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.664,0,0,0,0,-9.667,12.48,26.109,0,0,0,0,9.667,12.516,20.941,0,0,0,0,-7.499,12.656,21.324,0,0,0,0,12.797,24.77,1,1,0,0,0,1,1,675.621,40.424,0.003,109.403,0,0,1702,0.1,2.404,1,hD?,,
2014-Mar-29_14-06-05,14-06-05.0,12.589,3.757,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.48,22.664,0,0,0,0,-9.667,12.48,25.535,0,0,0,0,9.667,12.551,20.559,0,0,0,0,-7.499,12.656,21.133,0,0,0,0,12.797,24.961,1,1,0,0,0,1,1,675.621,40.43,-0.002,109.289,0,0,1703,0.1,2.542,1,??,,
2014-Mar-29_14-06-05,14-06-05.1,12.589,3.757,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.664,0,0,0,0,-9.667,12.48,25.535,0,0,0,0,9.667,12.516,20.367,0,0,0,0,-7.499,12.621,21.133,0,0,0,0,12.797,24.961,1,1,0,0,0,1,1,675.621,40.432,-0.002,109.517,0,0,1704,0.1,2.678,1,??d,,
2014-Mar-29_14-06-05,14-06-05.3,12.615,1.921,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.09,0,0,0,0,-9.667,12.516,25.344,0,0,0,0,9.667,12.551,20.559,0,0,0,0,-7.499,12.691,20.75,0,0,0,0,12.832,25.152,1,1,0,0,0,1,1,678.296,40.39,-0.002,109.403,0,0,1705,0.1,2.818,1,aN?N,,
2014-Mar-29_14-06-05,14-06-05.4,12.623,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.473,0,0,0,0,-9.667,12.516,25.535,0,0,0,0,9.667,12.551,20.941,0,0,0,0,-7.499,12.691,20.559,0,0,0,0,12.832,24.578,1,1,0,0,0,1,1,672.947,40.404,-0.002,109.517,0,0,1706,0.1,2.955,1,!5n,,
2014-Mar-29_14-06-05,14-06-05.5,12.623,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.473,0,0,0,0,-9.667,12.516,25.535,0,0,0,0,9.667,12.551,20.941,0,0,0,0,-7.499,12.691,20.559,0,0,0,0,12.832,24.578,1,1,0,0,0,1,1,672.947,40.404,-0.002,109.517,0,0,1706,0.1,2.955,1,%g!,,
2014-Mar-29_14-06-05,14-06-05.6,12.623,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.664,0,0,0,0,-9.667,12.516,25.344,0,0,0,0,9.667,12.586,20.75,0,0,0,0,-7.499,12.691,21.324,0,0,0,0,12.832,24.578,1,1,0,0,0,1,1,678.296,40.364,-0.002,109.289,0,0,1707,0.1,3.094,1,?? e,,
2014-Mar-29_14-06-05,14-06-05.7,12.632,1.921,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.473,0,0,0,0,-9.667,12.551,25.535,0,0,0,0,9.667,12.586,20.75,0,0,0,0,-7.499,12.656,21.516,0,0,0,0,12.832,25.152,1,1,0,0,0,1,1,678.296,40.347,0.003,109.403,0,0,1708,0.1,3.232,1,?? ?,,
2014-Mar-29_14-06-05,14-06-05.8,12.632,1.921,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.473,0,0,0,0,-9.667,12.516,25.918,0,0,0,0,9.667,12.586,20.941,0,0,0,0,-7.499,12.691,21.516,0,0,0,0,12.832,25.152,1,1,0,0,0,1,1,675.621,40.302,0.003,109.631,0,0,1709,0.1,3.37,1,Y?H,,
2014-Mar-29_14-06-06,14-06-06.0,12.632,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.281,0,0,0,0,-9.667,12.551,24.961,0,0,0,0,9.667,12.551,20.75,0,0,0,0,-7.499,12.691,21.133,0,0,0,0,12.867,24.195,1,1,0,0,0,1,1,672.947,40.266,-0.002,109.517,0,0,1710,0.1,3.508,1,?#??,,
2014-Mar-29_14-06-06,14-06-06.1,12.615,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.281,0,0,0,0,-9.667,12.48,25.152,0,0,0,0,9.667,12.551,20.941,0,0,0,0,-7.499,12.691,21.898,0,0,0,0,12.797,24.195,1,1,0,0,0,1,1,675.621,40.266,-0.002,109.403,0,0,1711,0.1,3.645,1,??-,,
2014-Mar-29_14-06-06,14-06-06.2,12.615,3.023,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.551,22.281,0,0,0,0,-9.667,12.516,25.727,0,0,0,0,9.667,12.586,20.75,0,0,0,0,-7.499,12.691,21.324,0,0,0,0,12.797,24.961,1,1,0,0,0,1,1,675.621,40.271,0.013,109.403,0,0,1712,0.1,3.785,1,??E?,,
2014-Mar-29_14-06-06,14-06-06.3,12.615,3.023,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.855,0,0,0,0,-9.667,12.516,25.535,0,0,0,0,9.667,12.551,20.559,0,0,0,0,-7.499,12.691,21.133,0,0,0,0,12.832,24.961,1,1,0,0,0,1,1,675.621,40.316,0.003,109.403,0,0,1713,0.1,3.92,1,????,,
2014-Mar-29_14-06-06,14-06-06.5,12.615,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,21.898,0,0,0,0,-9.667,12.516,25.152,0,0,0,0,9.667,12.551,20.941,0,0,0,0,-7.499,12.691,20.75,0,0,0,0,12.797,24.578,1,1,0,1,1,1,1,675.621,40.354,0.003,109.517,0,0,1714,0.1,4.059,1,??C,,
2014-Mar-29_14-06-06,14-06-06.6,12.615,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,21.898,0,0,0,0,-9.667,12.516,25.152,0,0,0,0,9.667,12.551,20.941,0,0,0,0,-7.499,12.691,20.75,0,0,0,0,12.797,24.578,1,1,0,1,1,1,1,675.621,40.354,0.003,109.517,0,0,1714,0.1,4.059,1,??B?,,
2014-Mar-29_14-06-06,14-06-06.7,12.615,3.023,-0.001,0,-0.001,-0.008,0,0,0,0,9.023,12.516,22.473,0,0,0,0,-9.667,12.48,25.344,0,0,0,0,9.667,12.551,20.367,0,0,0,0,-7.499,12.656,21.324,0,0,0,0,12.797,24.77,1,1,0,1,1,1,1,675.621,40.259,-0.007,105.29,0,0,1715,0.1,4.195,1,??E,,
2014-Mar-29_14-06-06,14-06-06.8,12.641,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,8.985,12.551,21.898,0,0,0,0,-9.63,12.551,25.535,0,0,0,0,9.623,12.586,20.941,0,0,0,0,-7.455,12.727,20.367,0,0,0,0,12.832,24.578,1,1,0,1,1,1,0,675.621,40.166,-0.002,96.036,0,0,1716,0.1,4.334,1,?6??,,
2014-Mar-29_14-06-06,14-06-06.9,12.641,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.551,21.898,0,0,0,0,-9.633,12.516,25.535,0,0,0,0,9.605,12.551,20.941,0,0,0,0,-7.442,12.691,21.516,0,0,0,0,12.797,25.152,1,1,0,1,1,1,0,680.97,40.162,0.003,88.725,0,0,1717,0.1,4.473,1,?[!,,
2014-Mar-29_14-06-07,14-06-07.0,12.641,2.656,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.551,21.898,0,0,0,0,-9.633,12.516,25.535,0,0,0,0,9.605,12.551,20.941,0,0,0,0,-7.442,12.691,21.516,0,0,0,0,12.797,25.152,1,1,0,1,1,1,0,680.97,40.162,0.003,88.725,0,0,1717,0.1,4.473,1,?}?,,
2014-Mar-29_14-06-07,14-06-07.1,12.641,2.288,-0.001,0,-0.001,-0.008,0,0,0,0,8.976,12.551,22.664,0,0,0,0,-9.623,12.551,25.535,0,0,0,0,9.608,12.059,21.133,0,0,0,0,-7.439,11.988,21.133,0,0,0,0,12.094,24.77,1,1,0,1,1,1,0,680.97,40.611,0.003,90.781,0,0,1718,0.1,4.612,1,e?$?,,
2014-Mar-29_14-06-07,14-06-07.2,12.347,11.834,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.305,22.664,0,0,0,0,-9.627,12.27,25.535,0,0,0,0,9.611,12.34,20.367,0,0,0,0,-7.442,12.445,21.516,0,0,0,0,12.621,24.578,1,1,0,1,1,1,0,678.296,40.514,-0.002,87.24,0,0,1719,0.1,4.752,1,>W??,,
2014-Mar-29_14-06-07,14-06-07.3,12.381,9.264,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.27,22.09,0,0,0,0,-9.627,12.27,25.727,0,0,0,0,9.611,12.305,21.133,0,0,0,0,-7.442,12.445,21.133,0,0,0,0,12.586,24.77,1,1,0,1,1,1,0,680.97,40.457,0.003,93.066,0,0,1720,0.1,4.89,1,??,,
2014-Mar-29_14-06-07,14-06-07.4,12.381,9.264,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.27,22.09,0,0,0,0,-9.627,12.27,25.727,0,0,0,0,9.611,12.305,21.133,0,0,0,0,-7.442,12.445,21.133,0,0,0,0,12.586,24.77,1,1,0,1,1,1,0,680.97,40.457,0.003,93.066,0,0,1720,0.1,4.89,1,K?;M,,
2014-Mar-29_14-06-07,14-06-07.6,12.356,10.366,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.305,22.281,0,0,0,0,-9.627,12.27,25.918,0,0,0,0,9.611,12.27,20.75,0,0,0,0,-7.442,12.41,21.324,0,0,0,0,12.586,24.77,1,1,0,1,1,1,0,680.97,40.481,-0.002,89.068,0,0,1721,0.1,5.028,1,???n,,
2014-Mar-29_14-06-07,14-06-07.7,12.364,9.631,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.234,22.09,0,0,0,0,-9.627,12.234,25.918,0,0,0,0,9.611,12.27,20.941,0,0,0,0,-7.442,12.41,21.324,0,0,0,0,12.586,24.578,1,1,0,0,0,1,0,1392.33,40.743,0.003,85.64,0,0,1722,0.1,5.167,1,?,,
2014-Mar-29_14-06-07,14-06-07.8,12.364,9.264,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.234,22.473,0,0,0,0,-9.627,12.199,25.727,0,0,0,0,9.611,12.27,20.559,0,0,0,0,-7.442,12.41,21.324,0,0,0,0,12.551,24.77,1,1,0,0,0,1,0,683.644,40.802,-0.002,87.811,0,0,1723,0.1,5.306,1,f??,,
2014-Mar-29_14-06-07,14-06-07.9,12.356,9.998,-0.001,0,-0.001,-0.008,0,0,0,0,8.979,12.27,22.473,0,0,0,0,-9.627,12.234,25.152,0,0,0,0,9.611,12.234,20.559,0,0,0,0,-7.442,12.41,20.75,0,0,0,0,12.586,24.77,1,1,0,0,0,1,0,680.97,40.857,0.003,90.21,0,0,1724,0.1,5.444,1,?:??,,
