2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Apr-10_11-14-13,11-14-13.4,12.191,22.481,-0.001,0.001,0,0,0,-1,-12.094,4.539,4.991,12.023,23.43,0,1,12.02,5.063,-4.937,11.988,25.344,0,-1,-12.094,4.406,4.796,12.129,21.516,0,1,12.23,4.277,-4.918,12.234,21.516,0,0,0,0,12.41,25.344,1,1,0,0,0,1,1,1130.25,-33.213,0.008,109.631,0,0,1034,0.1,1.206,1,C?6,
2014-Apr-10_11-14-13,11-14-13.5,12.191,22.481,-0.001,0.001,0,0,0,-1,-12.094,4.539,4.991,12.023,23.43,0,1,12.02,5.063,-4.937,11.988,25.344,0,-1,-12.094,4.406,4.796,12.129,21.516,0,1,12.23,4.277,-4.918,12.234,21.516,0,0,0,0,12.41,25.344,1,1,0,0,0,1,1,1130.25,-33.213,0.008,109.631,0,0,1034,0.1,1.206,1,E7?,
2014-Apr-10_11-14-13,11-14-13.7,12.217,19.911,-0.001,0.001,0,0,0,-1,-12.164,3.883,5.783,12.094,23.238,0,1,11.984,4.934,-5.729,12.023,25.727,0,-1,-12.129,3.75,5.597,12.094,21.707,0,1,12.23,4.539,-5.714,12.199,21.324,0,0,0,0,12.445,25.535,1,1,0,0,0,1,1,1068.741,-33.515,-0.002,109.631,0,0,1035,0.1,1.347,1,???,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Apr-10_11-14-13,11-14-13.8,12.252,21.38,-0.001,0.001,0,0,0,-1,-12.059,3.883,6.559,12.094,23.43,0,1,12.09,4.668,-6.512,12.023,26.301,0,-1,-12.129,3.883,6.367,12.129,21.324,0,1,12.23,4.668,-6.496,12.234,21.898,0,0,0,0,12.41,25.152,1,1,0,0,0,1,1,1007.233,-33.795,-0.002,109.403,0,0,1036,0.1,1.488,1,Yy??,
2014-Apr-10_11-14-13,11-14-13.9,12.243,20.646,-0.001,0.001,0,0,0,-1,-12.094,3.488,7.345,12.129,22.855,0,1,11.984,5.324,-7.291,12.023,25.727,0,-1,-12.129,4.277,7.14,12.129,21.324,0,1,12.23,4.406,-7.282,12.234,20.941,0,0,0,0,12.41,25.344,1,1,0,0,0,1,1,964.444,-34.361,0.008,109.631,0,0,1037,0.1,1.63,1,p?j,
2014-Apr-10_11-14-14,11-14-14.0,12.209,21.747,-0.001,0.001,0,0,0,-1,-12.023,3.883,8.13,12.059,23.43,0,1,11.984,5.324,-8.074,12.023,25.918,0,-1,-12.129,3.883,7.917,12.094,21.516,0,1,12.16,4.539,-8.071,12.305,21.133,0,0,0,0,12.445,25.918,1,1,0,0,0,1,1,881.541,-34.569,-0.007,109.517,0,0,1038,0.1,1.772,1,???,
2014-Apr-10_11-14-14,11-14-14.1,12.209,21.747,-0.001,0.001,0,0,0,-1,-12.023,3.883,8.13,12.059,23.43,0,1,11.984,5.324,-8.074,12.023,25.918,0,-1,-12.129,3.883,7.917,12.094,21.516,0,1,12.16,4.539,-8.071,12.305,21.133,0,0,0,0,12.445,25.918,1,1,0,0,0,1,1,881.541,-34.569,-0.007,109.517,0,0,1038,0.1,1.772,1,?Mr=,
2014-Apr-10_11-14-14,11-14-14.2,12.243,18.443,-0.001,0.001,0,0,0,-1,-12.129,3.355,8.923,12.094,23.238,0,1,12.055,5.324,-8.866,12.059,25.918,0,-1,-12.094,3.883,8.699,12.129,21.324,0,1,12.23,4.145,-8.866,12.27,21.516,0,0,0,0,12.445,25.727,1,1,0,0,0,1,1,838.753,-35.081,0.003,109.631,0,0,1039,0.1,1.913,1,??,
2014-Apr-10_11-14-14,11-14-14.3,12.226,18.81,-0.001,0.001,0,0,0,-1,-12.094,3.617,9.721,12.094,23.238,0,1,11.984,4.934,-9.686,12.023,25.344,0,-1,-12.129,4.145,9.476,12.094,21.133,0,1,12.195,4.277,-9.661,12.199,21.707,0,0,0,0,12.48,25.727,1,1,0,0,0,1,1,758.524,-35.697,-0.002,109.746,0,0,1040,0.1,2.056,1,?E?,
2014-Apr-10_11-14-14,11-14-14.4,12.425,9.998,-0.001,0.001,0,0,0,-0.951,-11.703,2.043,10.516,12.34,22.855,0,0.94,11.371,3.488,-10.472,12.094,25.535,0,-0.94,-11.605,2.043,10.258,12.27,21.324,0,0.94,11.539,2.699,-10.485,12.445,21.324,0,0,0,0,12.656,25.727,1,1,0,0,0,1,1,713.061,-36.452,0.003,109.517,0,0,1041,0.1,2.197,1,b???,
2014-Apr-10_11-14-14,11-14-14.5,12.623,3.39,-0.001,0.001,0,0,0,0,0,0,11.085,12.551,23.43,0,0,0,0,-10.994,12.516,25.535,0,0,0,0,10.733,12.586,21.133,0,0,0,0,-10.921,12.691,21.133,0,0,0,0,12.832,25.727,1,1,0,1,1,1,1,632.833,-37.225,0.008,107.118,0,0,1042,0.1,2.335,1,<??,
2014-Apr-10_11-14-14,11-14-14.6,12.623,3.39,-0.001,0.001,0,0,0,0,0,0,11.085,12.551,23.43,0,0,0,0,-10.994,12.516,25.535,0,0,0,0,10.733,12.586,21.133,0,0,0,0,-10.921,12.691,21.133,0,0,0,0,12.832,25.727,1,1,0,1,1,1,1,632.833,-37.225,0.008,107.118,0,0,1042,0.1,2.335,1,|~??,
2014-Apr-10_11-14-14,11-14-14.8,12.649,2.656,-0.001,0.001,0,0,0,0,0,0,11.251,12.586,23.43,0,0,0,0,-11.163,12.551,26.301,0,0,0,0,10.824,12.586,21.324,0,0,0,0,-11.025,12.691,21.516,0,0,0,0,12.832,25.918,1,1,0,1,1,1,0,611.438,-38.592,0.008,98.093,0,0,1043,0.1,2.472,1,??,
?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Apr-10_11-14-14,11-14-14.9,12.658,3.023,-0.001,0.001,0,0,0,0,0,0,11.273,12.551,23.238,0,0,0,0,-11.176,12.41,25.918,0,0,0,0,10.84,11.848,21.324,0,0,0,0,-11.044,12.164,21.133,0,0,0,0,12.234,25.344,1,1,0,1,1,1,0,148.787,-38.453,0.003,88.268,0,0,1044,0.1,2.608,1,??zO,
2014-Apr-10_11-14-15,11-14-15.0,12.39,11.834,-0.001,0.001,0,0,0,0,0,0,11.267,12.375,23.047,0,0,0,0,-11.176,12.234,25.727,0,0,0,0,10.837,12.375,20.75,0,0,0,0,-11.038,12.41,21.516,0,0,0,0,12.586,25.152,1,1,0,1,1,1,0,598.067,-38.465,0.008,87.011,0,0,1045,0.1,2.746,1,eB??,
2014-Apr-10_11-14-15,11-14-15.1,12.39,11.834,-0.001,0.001,0,0,0,0,0,0,11.267,12.375,23.047,0,0,0,0,-11.176,12.234,25.727,0,0,0,0,10.837,12.375,20.75,0,0,0,0,-11.038,12.41,21.516,0,0,0,0,12.586,25.152,1,1,0,1,1,1,0,598.067,-38.465,0.008,87.011,0,0,1045,0.1,2.746,1,g??,
2014-Apr-10_11-14-15,11-14-15.2,-0.003,14.037,-0.001,0.001,0,0,0,0,0,0,11.28,12.305,23.43,0,0,0,0,-11.189,12.27,25.727,0,0,0,0,10.846,12.375,21.324,0,0,0,0,-11.05,12.48,21.324,0,0,0,0,12.516,25.727,1,1,0,1,1,1,0,598.067,-38.297,0.003,80.842,0,0,1046,0.1,2.883,1,bH??,
2014-Apr-10_11-14-15,11-14-15.3,-0.003,14.037,-0.001,0.001,0,0,0,0,0,0,11.27,12.305,22.855,0,0,0,0,-11.176,12.34,25.727,0,0,0,0,10.837,12.305,20.941,0,0,0,0,-11.038,12.48,22.09,0,0,0,0,12.551,25.344,1,1,0,1,1,1,0,598.067,-38.256,0.003,84.041,0,0,1047,0.1,3.016,1,"?""GD",
2014-Apr-10_11-14-15,11-14-15.4,-0.003,11.1,-0.001,0.001,0,0,0,0,0,0,11.264,12.27,22.855,0,0,0,0,-11.173,12.305,26.109,0,0,0,0,10.833,12.305,21.324,0,0,0,0,-11.035,12.48,21.516,0,0,0,0,12.621,26.109,1,1,0,1,1,1,0,598.067,-38.293,-0.002,92.609,0,0,1048,0.1,3.154,1,?W?d,
2014-Apr-10_11-14-15,11-14-15.5,-0.003,11.467,-0.001,0.001,0,0,0,0,0,0,11.267,12.375,22.664,0,0,0,0,-11.176,12.305,25.535,0,0,0,0,10.833,12.34,21.133,0,0,0,0,-11.038,12.445,21.516,0,0,0,0,12.586,25.727,1,1,0,0,0,1,0,598.067,-38.241,0.003,88.382,0,0,1049,0.1,3.295,1,??3?,
2014-Apr-10_11-14-15,11-14-15.6,-0.003,11.467,-0.001,0.001,0,0,0,0,0,0,11.267,12.375,22.664,0,0,0,0,-11.176,12.305,25.535,0,0,0,0,10.833,12.34,21.133,0,0,0,0,-11.038,12.445,21.516,0,0,0,0,12.586,25.727,1,1,0,0,0,1,0,598.067,-38.241,0.003,88.382,0,0,1049,0.1,3.295,1,[?94,
2014-Apr-10_11-14-15,11-14-15.7,-0.003,9.998,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.305,25.727,0,0,0,0,10.833,12.34,20.941,0,0,0,0,-11.038,12.48,21.707,0,0,0,0,12.586,25.344,1,1,0,0,0,1,0,715.736,-38.104,0.003,89.982,0,0,1050,0.1,3.435,1,7M?,
2014-Apr-10_11-14-16,11-14-16.1,-0.003,11.1,-0.001,0.001,0,0,0,0,0,0,11.267,12.34,23.238,0,0,0,0,-11.176,12.305,25.727,0,0,0,0,10.833,12.34,20.941,0,0,0,0,-11.038,12.48,20.559,0,0,0,0,12.586,25.344,1,1,0,0,0,1,0,598.067,-38.239,-0.002,93.752,0,0,1052,0.1,3.714,1,?q?M,
2014-Apr-10_11-14-16,11-14-16.2,-0.003,11.1,-0.001,0.001,0,0,0,0,0,0,11.267,12.34,23.047,0,0,0,0,-11.173,12.305,25.918,0,0,0,0,10.833,12.375,21.133,0,0,0,0,-11.035,12.445,21.324,0,0,0,0,12.586,25.535,1,1,0,0,0,1,0,595.393,-38.314,0.008,95.237,0,0,1053,0.1,3.854,1,{??,
2014-Apr-10_11-14-16,11-14-16.3,-0.003,10.366,-0.001,0.001,0,0,0,0,0,0,11.264,12.34,23.238,0,0,0,0,-11.173,12.234,26.109,0,0,0,0,10.833,12.34,21.516,0,0,0,0,-11.035,12.48,21.133,0,0,0,0,12.586,25.535,1,1,0,0,0,1,0,148.787,-38.335,0.003,91.352,0,0,1054,0.1,3.994,1,?PD?,
2014-Apr-10_11-14-16,11-14-16.4,-0.003,10.733,-0.001,0.001,0,0,0,0,0,0,11.27,12.375,22.664,0,0,0,0,-11.179,12.305,25.535,0,0,0,0,10.84,12.41,21.324,0,0,0,0,-11.041,12.445,21.324,0,0,0,0,12.621,25.727,1,1,0,0,0,1,0,140.764,-38.443,-0.002,95.465,0,0,1055,0.1,4.134,1,?6?k,
2014-Apr-10_11-14-16,11-14-16.5,-0.003,12.201,-0.001,0.001,0,0,0,0,0,0,11.267,12.375,22.664,0,0,0,0,-11.173,12.27,25.918,0,0,0,0,10.833,12.34,21.516,0,0,0,0,-11.035,12.445,21.324,0,0,0,0,12.621,25.152,1,1,0,0,0,1,0,592.718,-38.563,-0.002,91.809,0,0,1056,0.1,4.273,1,??Tz,
2014-Apr-10_11-14-16,11-14-16.6,-0.003,11.1,-0.001,0.001,0,0,0,0,0,0,11.264,12.375,22.855,0,0,0,0,-11.173,12.27,25.727,0,0,0,0,10.837,12.375,21.324,0,0,0,0,-11.038,12.41,21.516,0,0,0,0,12.621,25.535,1,1,0,0,0,1,0,598.067,-38.584,0.003,89.982,0,0,1057,0.1,4.413,1,???I,
2014-Apr-10_11-14-16,11-14-16.7,-0.003,11.1,-0.001,0.001,0,0,0,0,0,0,11.264,12.375,22.855,0,0,0,0,-11.173,12.27,25.727,0,0,0,0,10.837,12.375,21.324,0,0,0,0,-11.038,12.41,21.516,0,0,0,0,12.621,25.535,1,1,0,0,0,1,0,598.067,-38.584,0.003,89.982,0,0,1057,0.1,4.413,1,W???,
2014-Apr-10_11-14-16,11-14-16.8,-0.003,12.936,-0.001,0.001,0,0,0,0,0,0,11.267,12.34,22.855,0,0,0,0,-11.173,12.27,25.727,0,0,0,0,10.833,12.375,21.516,0,0,0,0,-11.035,12.375,21.324,0,0,0,0,12.621,25.152,1,1,0,0,0,1,0,598.067,-38.614,0.003,88.611,0,0,1058,0.1,4.552,1,??+?,
2014-Apr-10_11-14-16,11-14-16.9,-0.003,13.67,-0.001,0.001,0,0,0,0,0,0,11.264,12.34,23.238,0,0,0,0,-11.173,12.234,25.727,0,0,0,0,10.833,12.34,21.133,0,0,0,0,-11.035,12.375,21.707,0,0,0,0,12.621,25.727,1,1,0,0,0,1,0,598.067,-38.71,0.003,89.068,0,0,1059,0.1,4.692,1,????,
2014-Apr-10_11-14-17,11-14-17.1,-0.003,11.467,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.27,25.727,0,0,0,0,10.833,12.34,21.324,0,0,0,0,-11.035,12.375,21.133,0,0,0,0,12.621,25.344,1,1,0,0,0,1,0,595.393,-38.863,-0.002,91.467,0,0,1060,0.1,4.834,1,Q4,
2014-Apr-10_11-14-17,11-14-17.2,-0.003,11.467,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.27,25.727,0,0,0,0,10.833,12.34,21.324,0,0,0,0,-11.035,12.375,21.133,0,0,0,0,12.621,25.344,1,1,0,0,0,1,0,595.393,-38.863,-0.002,91.467,0,0,1060,0.1,4.834,1,?4{,
2014-Apr-10_11-14-17,11-14-17.3,-0.003,12.936,-0.001,0.001,0,0,0,0,0,0,11.264,12.34,23.238,0,0,0,0,-11.173,12.27,25.918,0,0,0,0,10.833,12.375,20.941,0,0,0,0,-11.035,12.41,21.324,0,0,0,0,12.621,25.152,1,1,0,0,0,1,0,600.741,-38.901,0.003,90.096,0,0,1061,0.1,4.972,1,N??K,
2014-Apr-10_11-14-17,11-14-17.4,-0.003,12.201,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,22.664,0,0,0,0,-11.173,12.234,25.918,0,0,0,0,10.833,12.34,21.516,0,0,0,0,-11.035,12.445,21.707,0,0,0,0,12.621,25.152,1,1,0,0,0,1,0,595.393,-38.985,-0.002,89.982,0,0,1062,0.1,5.113,1,??Q,
2014-Apr-10_11-14-17,11-14-17.5,-0.003,14.037,-0.001,0.001,0,0,0,0,0,0,11.267,12.375,22.855,0,0,0,0,-11.173,12.234,25.727,0,0,0,0,10.833,12.34,21.324,0,0,0,0,-11.035,12.41,21.324,0,0,0,0,12.586,25.152,1,1,0,0,0,1,0,555.278,-39.054,-0.002,90.324,0,0,1063,0.1,5.252,1,~h??,
2014-Apr-10_11-14-17,11-14-17.6,-0.003,13.67,-0.001,0.001,0,0,0,0,0,0,11.267,12.34,23.238,0,0,0,0,-11.173,12.27,25.535,0,0,0,0,10.833,12.375,21.516,0,0,0,0,-11.035,12.41,21.324,0,0,0,0,12.621,25.344,1,1,0,0,0,1,0,119.37,-39.072,0.003,91.01,0,0,1064,0.1,5.393,1,???,
2014-Apr-10_11-14-17,11-14-17.7,-0.003,13.67,-0.001,0.001,0,0,0,0,0,0,11.267,12.34,23.238,0,0,0,0,-11.173,12.27,25.535,0,0,0,0,10.833,12.375,21.516,0,0,0,0,-11.035,12.41,21.324,0,0,0,0,12.621,25.344,1,1,0,0,0,1,0,119.37,-39.072,0.003,91.01,0,0,1064,0.1,5.393,1,i??,
2014-Apr-10_11-14-17,11-14-17.8,-0.003,12.936,-0.001,0.001,0,0,0,0,0,0,11.267,12.34,23.238,0,0,0,0,-11.173,12.27,25.535,0,0,0,0,10.833,12.34,21.133,0,0,0,0,-11.035,12.41,21.133,0,0,0,0,12.551,25.535,1,1,0,0,0,1,0,119.37,-39.137,0.008,93.98,0,0,1065,0.1,5.532,1,?O?-,
2014-Apr-10_11-14-17,11-14-17.9,-0.003,13.303,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.234,25.344,0,0,0,0,10.833,12.34,21.324,0,0,0,0,-11.035,12.445,21.516,0,0,0,0,12.586,24.387,1,1,0,0,0,1,0,520.513,-39.235,-0.012,92.152,0,0,1066,0.1,5.671,1,???,
2014-Apr-10_11-14-18,11-14-18.0,-0.003,16.24,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.199,25.918,0,0,0,0,10.833,12.305,21.516,0,0,0,0,-11.035,12.48,21.516,0,0,0,0,12.551,25.152,1,1,0,0,0,1,0,595.393,-39.276,-0.002,91.467,0,0,1067,0.1,5.811,1,???,
2014-Apr-10_11-14-18,11-14-18.1,-0.003,14.404,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,22.855,0,0,0,0,-11.173,12.234,25.918,0,0,0,0,10.833,12.27,21.133,0,0,0,0,-11.035,12.445,21.898,0,0,0,0,12.551,25.727,1,1,0,0,0,1,0,598.067,-39.296,-0.002,92.038,0,0,1068,0.1,5.951,1,?<?8,
2014-Apr-10_11-14-18,11-14-18.3,-0.003,14.404,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,22.855,0,0,0,0,-11.173,12.234,25.918,0,0,0,0,10.833,12.27,21.133,0,0,0,0,-11.035,12.445,21.898,0,0,0,0,12.551,25.727,1,1,0,0,0,1,0,598.067,-39.296,-0.002,92.038,0,0,1068,0.1,5.951,1,k?,
2014-Apr-10_11-14-18,11-14-18.4,-0.003,15.506,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.234,25.727,0,0,0,0,10.833,12.34,20.559,0,0,0,0,-11.035,12.48,21.516,0,0,0,0,12.551,25.344,1,1,0,0,0,1,0,598.067,-39.361,-0.002,93.409,0,0,1069,0.1,6.093,1,=B<,
2014-Apr-10_11-14-18,11-14-18.5,-0.003,14.037,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.238,0,0,0,0,-11.173,12.234,26.109,0,0,0,0,10.833,12.305,20.75,0,0,0,0,-11.035,12.375,21.324,0,0,0,0,12.586,25.152,1,1,0,0,0,1,0,595.393,-39.422,0.003,94.094,0,0,1070,0.1,6.233,1,v???,
2014-Apr-10_11-14-18,11-14-18.6,-0.003,14.404,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.234,25.535,0,0,0,0,10.833,12.34,20.941,0,0,0,0,-11.035,12.41,21.516,0,0,0,0,12.586,25.344,1,1,0,0,0,1,0,148.787,-39.494,-0.002,94.437,0,0,1071,0.1,6.374,1,2??,
2014-Apr-10_11-14-18,11-14-18.7,-0.003,14.404,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.047,0,0,0,0,-11.173,12.234,25.535,0,0,0,0,10.833,12.34,20.941,0,0,0,0,-11.035,12.41,21.516,0,0,0,0,12.586,25.344,1,1,0,0,0,1,0,148.787,-39.494,-0.002,94.437,0,0,1071,0.1,6.374,1,??H?,
2014-Apr-10_11-14-18,11-14-18.8,-0.003,13.303,-0.001,0.001,0,0,0,0,0,0,11.267,12.305,23.238,0,0,0,0,-11.173,12.199,26.109,0,0,0,0,10.833,12.305,20.941,0,0,0,0,-11.035,12.41,21.324,0,0,0,0,12.586,25.727,1,1,0,0,0,1,0,156.81,-39.575,-0.002,93.866,0,0,1072,0.1,6.513,1,??gB,
2014-Apr-10_11-14-18,11-14-18.9,-0.003,13.67,-0.001,0.001,0,0,0,0,0,0,11.267,12.27,22.855,0,0,0,0,-11.173,12.199,25.727,0,0,0,0,10.833,12.34,21.324,0,0,0,0,-11.035,12.48,21.516,0,0,0,0,12.551,25.727,1,1,0,0,0,1,0,164.833,-39.626,-0.007,90.781,0,0,1073,0.1,6.652,1,???3,
2014-Apr-10_11-14-19,11-14-19.0,-0.003,14.037,-0.001,0.001,0,0,0,0,0,0,11.267,12.27,22.855,0,0,0,0,-11.173,12.27,25.727,0,0,0,0,10.833,12.34,21.516,0,0,0,0,-11.035,12.48,21.324,0,0,0,0,12.551,24.961,1,1,0,0,0,1,0,178.204,-39.665,-0.007,92.723,0,0,1074,0.1,6.791,1,OF??,
2014-Apr-10_11-14-19,11-14-19.1,-0.003,12.569,-0.001,0.001,0,0,0,0,0,0,11.267,12.234,22.664,0,0,0,0,-11.173,12.27,25.535,0,0,0,0,10.833,12.27,21.133,0,0,0,0,-11.035,12.48,21.516,0,0,0,0,12.551,25.344,1,1,0,0,0,1,0,188.901,-39.732,0.008,96.836,0,0,1075,0.1,6.931,1,z>Q?,
2014-Apr-10_11-14-19,11-14-19.2,-0.003,12.569,-0.001,0.001,0,0,0,0,0,0,11.267,12.234,22.664,0,0,0,0,-11.173,12.27,25.535,0,0,0,0,10.833,12.27,21.133,0,0,0,0,-11.035,12.48,21.516,0,0,0,0,12.551,25.344,1,1,0,0,0,1,0,188.901,-39.732,0.008,96.836,0,0,1075,0.1,6.931,1,??o?,
2014-Apr-10_11-14-19,11-14-19.3,-0.003,11.467,-0.001,0.001,0,0,0,0,0,0,11.267,12.234,22.855,0,0,0,0,-11.173,12.34,25.727,0,0,0,0,10.833,12.27,21.133,0,0,0,0,-11.035,12.445,21.516,0,0,0,0,12.516,24.961,1,1,0,0,0,1,0,180.878,-39.786,-0.002,94.894,0,0,1076,0.1,7.068,1,??o,
