2014-Jun-28_09-29-40,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,,
2014-Jun-28_10-10-06,10-10-06.1,0,12.641,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,233.584,-611.416,109.517,0,0,16570,5,5.563,1,?NV,
2014-Jun-28_10-10-06,10-10-06.2,0,12.641,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,233.584,-611.632,109.403,0,0,16575,5,5.663,1,Mc??,
2014-Jun-28_10-10-06,10-10-06.3,0,12.641,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-611.849,109.403,0,0,16580,5,5.762,1,??,
2014-Jun-28_10-10-06,10-10-06.5,0,12.666,1.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,230.437,-612.066,109.517,0,0,16585,5,5.862,1,"?	",
2014-Jun-28_10-10-06,10-10-06.6,0,12.666,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,233.584,-612.28,109.517,0,0,16590,5,5.962,1,Z?1,
2014-Jun-28_10-10-06,10-10-06.7,0,12.675,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-612.706,109.403,0,0,16600,5,6.162,1,?2?J,
2014-Jun-28_10-10-06,10-10-06.8,0,12.675,1.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-612.92,109.517,0,0,16605,5,6.262,1,(v??,
2014-Jun-28_10-10-06,10-10-06.9,0,12.675,1.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-613.133,109.517,0,0,16610,5,6.363,1,T???,
2014-Jun-28_10-10-07,10-10-07.0,0,12.675,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-613.347,109.517,0,0,16615,5,6.466,1,?]?,
2014-Jun-28_10-10-07,10-10-07.1,0,12.675,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-613.56,109.403,0,0,16620,5,6.563,1,??,
2014-Jun-28_10-10-07,10-10-07.2,0,12.658,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-613.773,109.631,0,0,16625,5,6.663,1,nc??,
2014-Jun-28_10-10-07,10-10-07.3,0,12.658,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,231.486,-613.987,109.289,0,0,16630,5,6.763,1,??,
2014-Jun-28_10-10-07,10-10-07.4,0,12.658,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,231.486,-614.202,106.89,0,0,16635,5,6.863,1, ?]?,
2014-Jun-28_10-10-07,10-10-07.5,0,12.658,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,232.535,-614.414,100.263,0,0,16640,5,6.963,1,???,
