2014-Jun-28_09-29-40,Time Stamp,,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Jun-28_10-38-23,10-38-23.9,0,10.715,58.462,0.054,-0.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.548,-1,-0.438,0,0,0,1,1,752.926,-326.044,109.517,0,0,13310,5,124.522,1,?1K?,
2014-Jun-28_10-38-24,10-38-24.0,0,10.551,54.056,0.083,-0.101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.986,-0.781,-0.822,-0.616,0,0,0,1,1,751.877,-326.173,109.403,0,0,13315,5,124.622,1,$??,
2014-Jun-28_10-38-24,10-38-24.1,0,10.646,59.196,0.017,-0.69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-0.123,-1,-0.096,1,0,0,1,1,751.877,-326.297,109.631,0,0,13320,5,124.721,1,????,
2014-Jun-28_10-38-24,10-38-24.2,0,9.981,86.732,-0.006,-1,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0.987,0,0,0,1,1,751.877,-326.548,109.517,0,0,13330,5,124.921,1,??0?,
2014-Jun-28_10-38-24,10-38-24.3,0,10.188,75.351,-0.005,-1,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,751.877,-326.676,109.631,0,0,13335,5,125.021,1,?D?y,
2014-Jun-28_10-38-24,10-38-24.5,0,9.825,95.177,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,751.877,-326.802,109.517,0,0,13340,5,125.121,1,^J?,
2014-Jun-28_10-38-24,10-38-24.6,0,9.929,86.732,0.027,-1,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.975,-0.973,1,0,0,0,1,1,752.926,-326.929,109.631,0,0,13345,5,125.221,1,?.,
2014-Jun-28_10-38-24,10-38-24.7,0,10.507,64.703,0.098,-1,0.261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0.696,-1,0.886,1,0,0,1,1,751.877,-327.057,109.517,0,0,13350,5,125.322,1,?a?I,
2014-Jun-28_10-38-24,10-38-24.8,0,10.896,48.182,0.121,-1,0.261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0.671,-1,0.911,1,0,0,1,1,751.877,-327.179,109.517,0,0,13355,5,125.422,1,/?07,
2014-Jun-28_10-38-24,10-38-24.9,0,10.861,46.346,0.03,-1,-0.004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0.975,-0.973,1,1,0,0,1,1,751.877,-327.304,109.631,0,0,13360,5,125.522,1,?9DQ,
2014-Jun-28_10-38-25,10-38-25.0,0,11.276,29.09,0.017,-1,-0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.589,1,-0.562,1,0,0,0,1,1,264.01,-327.424,109.517,0,0,13365,5,125.622,1,?X2?,
2014-Jun-28_10-38-25,10-38-25.1,0,11.526,18.81,-0.001,-0.625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,1,0.177,1,0,0,0,1,1,725.648,-327.546,109.517,0,0,13370,5,125.722,1,?Q??,
